Age,Gender,ImpComercial,ImpSomeonesHouse,ImpWhenCook,Cluster
26,0,5,5,4,1
24,1,3,2,2,2
19,1,3,3,3,2
31,1,5,5,4,4
19,1,5,5,4,4
28,1,5,4,4,0
29,1,5,5,5,4
31,1,5,4,4,0
41,1,5,4,4,3
21,1,5,5,5,4
22,0,5,5,5,1
26,1,5,4,4,0
26,1,5,3,4,0
30,1,4,4,3,0
50,1,4,4,5,3
27,1,5,5,4,4
22,0,5,4,4,1
37,1,4,3,4,2
29,0,5,5,4,1
30,1,5,4,4,0
32,1,4,4,4,0
20,0,4,3,4,1
69,0,5,5,5,3
30,1,5,3,4,0
31,1,4,3,4,2
28,1,5,5,4,4
36,1,5,4,5,4
22,1,5,4,4,0
28,1,5,4,4,0
32,1,4,3,4,2
27,1,5,5,5,4
21,1,5,5,5,4
29,1,4,3,4,2
39,1,5,5,5,4
20,1,4,3,4,2
30,1,5,4,5,4
25,0,3,3,4,2
21,1,5,5,5,4
20,1,5,4,4,0
34,1,5,4,5,4
23,1,5,4,4,0
23,1,5,4,4,0
15,1,5,4,4,0
25,1,4,3,4,2
29,1,5,4,4,0
32,1,5,3,4,0
27,1,5,4,4,0
24,1,5,5,4,4
23,1,5,5,5,4
21,1,5,5,4,4
26,1,4,3,4,2
22,1,4,3,4,2
25,1,5,5,5,4
25,1,5,3,4,0
26,1,3,3,3,2
27,1,5,5,5,4
32,1,5,4,4,0
24,1,5,3,4,0
37,1,4,3,3,2
20,1,5,4,4,0
64,0,5,5,5,1
25,1,5,4,3,0
24,1,5,5,5,4
28,1,5,4,4,0
56,1,3,3,3,2
23,1,5,5,5,4
23,1,5,1,3,2
21,0,5,5,5,1
46,1,5,5,4,3
30,1,5,3,4,0
22,1,5,4,4,0
22,1,5,4,5,4
26,1,5,3,3,0
28,1,5,5,4,4
25,1,5,5,4,4
30,1,5,4,3,0
23,0,5,3,4,1
24,1,5,5,5,4
24,1,5,5,5,4
24,1,5,4,5,4
28,1,5,4,4,0
20,1,5,4,4,0
26,1,5,5,5,4
23,1,5,4,4,0
30,1,5,5,4,4
14,1,5,5,4,4
28,1,5,4,5,4
27,1,4,3,3,2
22,1,5,3,4,0
21,1,5,4,4,0
26,1,4,4,5,4
27,1,5,4,4,0
25,1,5,4,5,4
22,1,4,3,3,2
63,0,5,5,4,1
22,1,5,1,5,0
20,0,5,4,4,1
51,1,5,5,5,3
21,1,5,5,4,4
27,1,4,3,4,2
21,1,5,4,4,0
18,1,5,3,4,0
32,1,5,3,1,0
32,1,5,5,5,4
31,1,4,4,3,0
45,1,5,4,5,3
33,1,5,4,4,0
30,1,5,4,4,0
26,1,5,2,3,0
35,1,5,3,3,0
36,1,5,4,4,0
19,1,4,4,4,0
21,0,5,5,5,1
24,1,5,4,4,0
19,0,5,5,4,1
20,1,5,4,4,0
53,1,5,5,5,3
21,0,5,5,4,1
37,1,5,4,5,4
28,0,5,5,5,1
33,1,5,4,4,0
24,1,4,4,5,4
